"Destination","Origine","id","Annee","lat1","long1","lat2","long2","nbvols","passagers","train","distance","CO2"
"CALVI","PARIS","503","2019","48.85","2.35","42.52","8.79","1347","155688","","",""
"MARSEILLE","FIGARI","246","2019","41.5","9.1","43.44","5.21","1554","89046","","",""
"MARSEILLE","PARIS","554","2019","48.85","2.35","43.44","5.21","13816","1558924","11700","640.521906846904","2250.1404	"
"POITIERS","LYON","338","2019","45.73","5.08","46.59","0.31","951","21229","15000","379.553950166082","2263.38"
"MULHOUSE","PARIS","469","2019","48.85","2.35","47.59","7.53","4432","225675","11100","408.438303409252","1515.5908"
"MONTPELLIER","BORDEAUX","140","2019","44.83","-0.8","43.58","3.96","758","6756","15780","404.000619866386","5307.9355"
"PAU","MARSEILLE","370","2019","43.44","5.21","43.38","-0.42","732","5816","","",""
"LILLE","BASTIA","69","2019","42.55","9.48","50.56","3.09","330","39572","","",""
"LYON","PARIS","549","2019","48.85","2.35","45.73","5.08","6451","696318","6960","403.364987782549","1329.0736"
"LYON","AJACCIO","18","2019","41.92","8.8","45.73","5.08","862","101967","","",""
"NICE","PARIS","571","2019","48.85","2.35","43.67","7.21","21403","3178806","","",""
"CASTRES-MAZAMET","PARIS","508","2019","48.85","2.35","43.55","2.29","1411","45754","","",""
"LORIENT","PARIS","544","2019","48.85","2.35","47.76","-3.44","1425","58431","10440","444.939295087859","1518.8956"
"NANTES","FIGARI","248","2019","41.5","9.1","47.16","-1.61","375","52323","","",""
"PERPIGNAN","PARIS","585","2019","48.85","2.35","42.74","2.87","2882","254667","","",""
"MARSEILLE","LILLE","271","2019","50.56","3.09","43.44","5.21","2272","220535","","",""
"BREST","PARIS","493","2019","48.85","2.35","48.45","-4.42","5738","560930","12300","499.15331849782","1785.5372"
"LYON","BIARRITZ","106","2019","43.47","-1.53","45.73","5.08","1644","130620","","",""
"LYON","CAEN","189","2019","49.17","-0.45","45.73","5.08","1661","111912","16500","564.722832661718","6107.6066"
"TOULOUSE","METZ","397","2019","48.98","6.25","43.63","1.37","735","6916","","",""
"BEAUVAIS","AJACCIO","3","2019","41.92","8.8","49.45","2.11","52","7010","","",""
"PERPIGNAN","NANTES","418","2019","47.16","-1.61","42.74","2.87","127","16797","","",""
"STRASBOURG","MARSEILLE","380","2019","43.44","5.21","48.54","7.63","1425","105969","","",""
"LYON","BORDEAUX","132","2019","44.83","-0.8","45.73","5.08","5203","582186","","",""
"TOULOUSE","FIGARI","255","2019","41.5","9.1","43.63","1.37","230","25189","","",""
"CAEN","AJACCIO","10","2019","41.92","8.8","49.17","-0.45","250","31777","","",""
"RENNES","NICE","435","2019","43.67","7.21","48.07","-1.73","776","81144","","",""
"AGEN","PARIS","448","2019","48.85","2.35","44.17","0.59","901","13920","12240","537.498433125769","2085.0602"
"STRASBOURG","BORDEAUX","159","2019","44.83","-0.8","48.54","7.63","942","129571","","",""
"FIGARI","BREST","160","2019","48.45","-4.42","41.5","9.1","103","12515","","",""
"NANTES","LYON","324","2019","45.73","5.08","47.16","-1.61","5088","561037","17040","536.476414607576","2541.5952"
"RENNES","LYON","343","2019","45.73","5.08","48.07","-1.73","2076","179236","14340","578.854496971923","2366.7434"
"AURILLAC","PARIS","462","2019","48.85","2.35","44.9","2.42","1287","38187","","",""
"MARSEILLE","BREST","170","2019","48.45","-4.42","43.44","5.21","728","125173","","",""
"MONTPELLIER","BREST","171","2019","48.45","-4.42","43.58","3.96","150","20618","","",""
"MULHOUSE","FIGARI","238","2019","41.5","9.1","47.59","7.53","51","5776","","",""
"MARSEILLE","LYON","312","2019","45.73","5.08","43.44","5.21","1874","54054","6420","254.844312606778","989.1858"
"ROUEN","LYON","347","2019","45.73","5.08","49.39","1.18","237","7196","17100","501.113604274326","3862.1903"
"TOULOUSE","LILLE","295","2019","50.56","3.09","43.63","1.37","2546","234307","","",""
"MONTPELLIER","BASTIA","81","2019","42.55","9.48","43.58","3.96","546","10562","","",""
"TOULOUSE","MARSEILLE","385","2019","43.44","5.21","43.63","1.37","1593","77000","17880","310.239110033424","4383.0458"
"LA ROCHELLE","PARIS","528","2019","48.85","2.35","46.18","-1.2","511","20823","11700","398.938996586739","5082.7167"
"MONTPELLIER","LILLE","274","2019","50.56","3.09","43.58","3.96","309","38431","","",""
"NICE","LILLE","284","2019","50.56","3.09","43.67","7.21","2089","312722","","",""
"BEZIERS","BEAUVAIS","94","2019","49.45","2.11","43.32","3.35","363","59433","","",""
"LYON","LIMOGES","300","2019","45.86","1.18","45.73","5.08","968","19946","","",""
"NICE","BASTIA","88","2019","42.55","9.48","43.67","7.21","1929","106406","","",""
"MULHOUSE","CALVI","192","2019","42.52","8.79","47.59","7.53","44","6160","","",""
"NANTES","AJACCIO","31","2019","41.92","8.8","47.16","-1.61","794","111333","","",""
"FIGARI","BEAUVAIS","96","2019","49.45","2.11","41.5","9.1","120","19607","","",""
"PAU","LYON","334","2019","45.73","5.08","43.38","-0.42","1534","80026","","",""
"TOULOUSE","AJACCIO","43","2019","41.92","8.8","43.63","1.37","438","48365","","",""
"BRIVE","PARIS","498","2019","48.85","2.35","45.04","1.48","1509","49366","","",""
"BREST","BORDEAUX","117","2019","44.83","-0.8","48.45","-4.42","1271","30199","","",""
"NICE","METZ","395","2019","48.98","6.25","43.67","7.21","451","19051","","",""
"TOULOUSE","NANTES","428","2019","47.16","-1.61","43.63","1.37","3753","316058","","",""
"MARSEILLE","BIARRITZ","109","2019","43.47","-1.53","43.44","5.21","150","16889","","",""
"TOULOUSE","SAINT-NAZAIRE","633","2019","47.31","-2.16","43.63","1.37","1393","14762","","",""
"MULHOUSE","BORDEAUX","115","2019","44.83","-0.8","47.59","7.53","917","137346","","",""
"NANTES","MONTPELLIER","404","2019","43.58","3.96","47.16","-1.61","1228","169162","","",""
"NICE","FIGARI","253","2019","41.5","9.1","43.67","7.21","1032","46250","","",""
"MARSEILLE","CALVI","198","2019","42.52","8.79","43.44","5.21","1125","56916","","",""
"TOULON","PARIS","614","2019","48.85","2.35","43.1","6.15","4631","392272","16380","703.353697799771","3999.8562"
"TOULOUSE","PARIS","622","2019","48.85","2.35","43.63","1.37","23627","3216301","15900","585.295888158864","2404.9764"
"MULHOUSE","BASTIA","62","2019","42.55","9.48","47.59","7.53","197","27573","","",""
